,Trek,Cost,Time,TripGrade,MaxAltitude,Accomodation,BestTravelTime,Contact or Book your Trip
0,Everest Base Camp Trek,"
$1420USD",16Days,Moderate,5545m,Hotel/Guesthouse,March  May  Sept  Dec,https://www.nepalhikingteam.com
1,Everest Base Camp Short Trek,"
$1295USD",14Days,Moderate,5545m,Hotel/Guesthouse,March  May  Sept  Dec,https://www.nepalhikingteam.com
2,Everest Base Camp Heli Shuttle Trek,"
$2000USD",12Days,Moderate,5545m,Hotel/Guesthouse,March  May  Sept  Dec,https://www.nepalhikingteam.com
3,Everest Base Camp Heli Trek,"
$3300USD",11Days,Moderate,5545m,Hotel/Guesthouse,March  May  Sept  Dec,https://www.nepalhikingteam.com
4,Everest Base Camp Trek for Seniors,"
$1800USD",20Days,Moderate,5545m,Hotel/Guesthouse,March  May  Sept  Dec,https://www.nepalhikingteam.com
5,Everest Chola Pass Trek,"
$1720USD",19Days,Strenuous,5545m,Hotel/Guesthouse,March  May  Sept  Dec,https://www.nepalhikingteam.com
6,Gokyo Lake Renjo La Pass Trek,"
$1450USD",16Days,Moderate,5360m,Hotel/Guesthouse,March  May  Sept  Dec.,https://www.nepalhikingteam.com
7,Everest High Passes Trek,"
$1950USD",22Days,Strenuous,5545m,Hotel/Guesthouse,April  May  Sept  Nov,https://www.nepalhikingteam.com
8,Short Everest Trek,"
$1060USD",7Days,EasyToModerate,3900m,Hotel/Guesthouse,March  May  Sept  Dec.,https://www.nepalhikingteam.com
9,Everest Panorama Trek,"
$1150USD",10Days,EasyToModerate,3860m,Hotel/Guesthouse,Jan  May  Sept  Dec,https://www.nepalhikingteam.com
10,Everest View Trek,"
$1100USD",9Days,EasyToModerate,3860m,Hotel/Guesthouse,Jan  May  Sept  Dec,https://www.nepalhikingteam.com
11,Luxury Everest Base Camp Heli Trek,"
$4200USD",11Days,Moderate,5545m,Hotel/Teahouse,MarchMay  SeptDec.,https://www.nepalhikingteam.com
12,Everest Base Camp Trek with Chola and Renjo La Pass,"
$1900USD",21Days,Strenuous,5545m,Hotel/Guesthouse,March  May  Sept  Nov,https://www.nepalhikingteam.com
13,Annapurna Base Camp Trek,"
$1090USD",14Days,Moderate,4210m,Hotel/Guesthouse,March  May  Sept  Dec,https://www.nepalhikingteam.com
14,Annapurna Base Camp Short Trek,"
$1090USD",11Days,EasyToModerate,4210m,Hotel/Teahouses,March  May  Sept  Dec,https://www.nepalhikingteam.com
15,Instant Annapurna Base Camp Trek,"
$980USD",9Days,Moderate,4230m,Hotel/Guest Houses,March  May  Sept  Dec.,https://www.nepalhikingteam.com
16,Annapurna Base Camp Heli Trek,"
$1750USD",9Days,EasyToModerate,4210m,Hotel/Teahouses,March  May  Sept  Dec,https://www.nepalhikingteam.com
17,Mardi Himal Trek,"
$850USD",9Days,EasyToModerate,4200m,Hotel/Guesthouses,March  May  Sept  Dec,https://www.nepalhikingteam.com
18,Mardi Himal Trekking,"
$850USD",8Days,EasyToModerate,4200m,Hotel/Guesthouse,MarchMay  SeptDec.,https://www.nepalhikingteam.com
19,Classic Annapurna Circuit Trek,"
$1350USD",18Days,Moderate,5416m,Hotel/Teahouses,March  May  Sept  Nov,https://www.nepalhikingteam.com
20,Annapurna Circuit Trek,"
$1250USD",14Days,Moderate,5416m,Hotel/Teahouses,MarchMay  SeptDec,https://www.nepalhikingteam.com
21,Annapurna Circuit Short Trek,"
$1250USD",12Days,Strenuous,5416m,Hotel/Guesthouse,March  May  Sept  Nov.,https://www.nepalhikingteam.com
22,Annapurna Luxury Trek,"
$1450USD",9Days,EasyToModerate,2012m,Hotel/Luxury Lodges,March  May  Setpt  Dec,https://www.nepalhikingteam.com
23,Annapurna Panorama Trek,"
$860USD",9Days,Easy,3210m,Hotel/Teahouse,Jan  May  Sept  Dec,https://www.nepalhikingteam.com
